id,start,end,text
0,00:00:00.000,00:00:03.480," Kevin, I'm going to go with Kevin on this."
1,00:00:03.480,00:00:04.980, He looks nervous. He's sweating.
2,00:00:04.980,00:00:06.980, I can see it through the Zoom camera.
3,00:00:06.980,00:00:08.700," Yeah, I can kind of see it a little bit, too."
4,00:00:08.700,00:00:09.920, His face is getting red.
5,00:00:09.920,00:00:12.480, I'm definitely sweating.
6,00:00:12.480,00:00:14.200," This is very dramatic and intense,"
7,00:00:14.200,00:00:16.480," and I, you know, this might be the reason"
8,00:00:16.480,00:00:18.280," the band breaks up again, Jimmy, so we have you to thank."
9,00:00:18.280,00:00:19.220," Yeah, thanks a lot, man."
10,00:00:19.220,00:00:21.420," Yes, it is me. It is me."
11,00:00:21.420,00:00:25.440, I did forget to wear my pants the first day I had them.
12,00:00:25.440,00:00:25.900, You knew it.
