id,start,end,text
0,00:00:00.000,00:00:02.640," And there's a beautiful wedding, people."
1,00:00:02.640,00:00:04.300, I'm sure everybody flew.
2,00:00:04.420,00:00:08.100, And what do I see behind a palm tree where I'm hiding?
3,00:00:08.940,00:00:13.500, I see the beautiful wedding cake in a little table
4,00:00:13.500,00:00:15.300, with two chairs for the bride and the groom.
5,00:00:15.300,00:00:16.780," Instead of the bride and the groom,"
6,00:00:16.780,00:00:21.420, there is Lupe and Angie sitting perfectly.
7,00:00:21.660,00:00:25.500, And everybody's trying to get the dogs.
8,00:00:25.740,00:00:27.980," And they really are not mean dogs,"
9,00:00:27.980,00:00:29.440, but they were faking it really well.
10,00:00:29.440,00:00:30.700, This is what they would do.
11,00:00:30.780,00:00:33.060," They'd like, dog, dog, dog, dog, dog,"
12,00:00:33.060,00:00:34.300, eat as fast as they could.
13,00:00:34.300,00:00:36.000," And then they would go, rawr!"
